sentence,phrase,tokens,bio_sim_words,chem_sim_words,phy_sim_words,math_sim_words,tech_sim_words,eng_sim_words,medical_terms,polarity,subjectivity,ner,interjections,nouns,adverb,verb,determiner,pronoun,adjetive,preposition,embedding0,embedding1,embedding2,embedding3,embedding4,embedding5,embedding6,embedding7,embedding8,embedding9,embedding10,embedding11,embedding12,embedding13,embedding14,embedding15,embedding16,embedding17,embedding18,embedding19,embedding20,embedding21,embedding22,embedding23,embedding24,embedding25,embedding26,embedding27,embedding28,embedding29,embedding30,embedding31,embedding32,embedding33,embedding34,embedding35,embedding36,embedding37,embedding38,embedding39,embedding40,embedding41,embedding42,embedding43,embedding44,embedding45,embedding46,embedding47,embedding48,embedding49,embedding50,embedding51,embedding52,embedding53,embedding54,embedding55,embedding56,embedding57,embedding58,embedding59,embedding60,embedding61,embedding62,embedding63,embedding64,embedding65,embedding66,embedding67,embedding68,embedding69,embedding70,embedding71,embedding72,embedding73,embedding74,embedding75,embedding76,embedding77,embedding78,embedding79,embedding80,embedding81,embedding82,embedding83,embedding84,embedding85,embedding86,embedding87,embedding88,embedding89,embedding90,embedding91,embedding92,embedding93,embedding94,embedding95,embedding96,embedding97,embedding98,embedding99
i would probably start to relate everything i see with the concepts and formulas i have learned and started to explain to my friends.,['I would probably start to relate everything I see with the concepts and formulas I have learned and started to explain to my friends.'],"['i', 'would', 'probably', 'start', 'to', 'relate', 'everything', 'i', 'see', 'with', 'the', 'concepts', 'and', 'formulas', 'i', 'have', 'learned', 'and', 'started', 'to', 'explain', 'to', 'my', 'friends', '.']",0,0,0,0,0,0,0,0.0,0.0,0,0,7,1,5,1,0,0,1,-0.19196142256259918,0.17449301481246948,0.09447690099477768,0.058088887482881546,0.12095659971237183,-0.35450315475463867,0.20604918897151947,0.5148770213127136,-0.19257795810699463,-0.2998504340648651,0.09260042756795883,-0.35028693079948425,-0.01669304445385933,0.21675406396389008,0.051861152052879333,-0.05730197951197624,0.13275538384914398,-0.21058349311351776,-0.14153265953063965,-0.494585782289505,-0.042345549911260605,-0.09471634775400162,0.21111680567264557,-0.09254807233810425,-0.03874000534415245,0.020529618486762047,-0.2258259505033493,0.1040327250957489,-0.09550297260284424,0.06426110118627548,0.3070440888404846,0.045626331120729446,0.2719283401966095,-0.1325266808271408,0.010427474975585938,0.2929306924343109,0.18264786899089813,0.028768857941031456,-0.07551003247499466,-0.21013905107975006,0.08013028651475906,-0.056680310517549515,-0.04614735022187233,-0.07638422399759293,0.11413293331861496,0.03859569504857063,-0.14453420042991638,0.037340693175792694,0.0655612200498581,0.23546551167964935,-0.01625177636742592,-0.12597210705280304,-0.10615057498216629,-0.03277760371565819,0.019108230248093605,0.17428480088710785,0.1212633028626442,0.05745862424373627,-0.11060189455747604,0.15910224616527557,0.07753085345029831,-0.0680709257721901,0.12216105312108994,0.12697894871234894,-0.13910725712776184,0.3132632374763489,0.2436876744031906,0.16633011400699615,-0.24857719242572784,0.3058570325374603,0.06131430342793465,0.20316602289676666,0.2461041957139969,0.007917351089417934,0.42796409130096436,-0.18362019956111908,-0.00018994945276062936,0.03091195970773697,-0.01946409046649933,-0.19723530113697052,-0.2795916497707367,0.11183514446020126,-0.14348381757736206,0.07997550070285797,-0.21393068134784698,-0.0804910883307457,0.26219719648361206,0.11488857865333557,0.20457492768764496,-0.07269051671028137,0.40756431221961975,0.18047286570072174,-0.026347605511546135,0.008235033601522446,0.2680595815181732,-0.029430760070681572,0.24693244695663452,-0.1536184698343277,-0.05741859972476959,0.11584410816431046
it may even be associated with a spiritual intelligence.,"['I answer with, it is my being that gives my existence reason to be. In translation, my answer is relative to the context of my life to come, that the meaning behind my existence comes from what I do with it. To that my expectations are high']","['it', 'may', 'even', 'be', 'associated', 'with', 'a', 'spiritual', 'intelligence', '.']",0,0,0,0,0,0,0,0.0,0.13333333333333333,0,0,1,1,2,1,1,1,1,-0.10222122073173523,0.21112187206745148,0.10451863706111908,0.08125737309455872,0.11950691789388657,-0.33202362060546875,0.1944056898355484,0.45393106341362,-0.18657267093658447,-0.1458560824394226,0.098294198513031,-0.33429989218711853,0.018070783466100693,0.15232820808887482,0.0419154018163681,-0.10530240088701248,0.12400498986244202,-0.14061705768108368,-0.062499675899744034,-0.4176878035068512,-0.030170341953635216,-0.09382312744855881,0.10028466582298279,-0.00644050445407629,-0.08159548789262772,0.01234307512640953,-0.1934136003255844,0.036568570882081985,-0.14118383824825287,0.050177205353975296,0.2284356951713562,0.001062039751559496,0.236933171749115,-0.14830709993839264,0.029955264180898666,0.22183339297771454,0.13718341290950775,-0.030792005360126495,-0.10128762573003769,-0.274530291557312,0.025382544845342636,-0.04869499057531357,-0.04179159924387932,0.033300746232271194,0.0862317755818367,0.034992385655641556,-0.11436189711093903,0.05245888978242874,0.023452775552868843,0.1668558269739151,0.0035922368988394737,-0.08579739928245544,-0.03560163825750351,-0.08838236331939697,-0.03859519958496094,0.1538396030664444,0.05541982501745224,0.05318804457783699,-0.05445251986384392,0.11484682559967041,0.018167592585086823,-0.07044783234596252,0.04000135138630867,0.09233824163675308,-0.13193762302398682,0.29539355635643005,0.13299159705638885,0.17101788520812988,-0.25129520893096924,0.25590550899505615,0.009135182946920395,0.1936543583869934,0.1687866747379303,-0.05748753249645233,0.39632517099380493,-0.0897875651717186,-0.011930450797080994,0.08447608351707458,-0.04953249543905258,-0.19209297001361847,-0.23173464834690094,0.07249370217323303,-0.10779795050621033,0.1261867880821228,-0.2332865446805954,-0.02220333367586136,0.20137837529182434,0.10508352518081665,0.22517196834087372,-0.05832718312740326,0.37280651926994324,0.10459282994270325,-0.0535624735057354,0.07505278289318085,0.18950125575065613,-0.07270840555429459,0.2466747760772705,-0.07219471782445908,0.02984873205423355,0.03898630663752556
"i came to san francisco specifically for the beautiful culture, im a psychology major so being exposed to various amounts of different people is going to be beneficial for me in the future.","['Talking to people is my favorite task to do, just getting to know others and being able to give them the opportunity to be heard so that is often how I go about my days.', 'I came to San Francisco specifically for the beautiful culture, Im a psychology major so being exposed to various amounts of different people is going to be beneficial for me in the future.']","['i', 'came', 'to', 'san', 'francisco', 'specifically', 'for', 'the', 'beautiful', 'culture', ',', 'im', 'a', 'psychology', 'major', 'so', 'being', 'exposed', 'to', 'various', 'amounts', 'of', 'different', 'people', 'is', 'going', 'to', 'be', 'beneficial', 'for', 'me', 'in', 'the', 'future', '.']",1,1,0,1,0,0,0,0.1825,0.545,0,0,6,2,7,3,1,6,4,-0.11590518057346344,0.18389199674129486,0.1354300081729889,0.04414268583059311,0.15111464262008667,-0.3656776249408722,0.19953720271587372,0.4636101722717285,-0.20653776824474335,-0.20976640284061432,0.15417753159999847,-0.31859686970710754,-0.019222330302000046,0.16336187720298767,0.07016390562057495,0.02807960845530033,0.1683012992143631,-0.12658792734146118,-0.10144610702991486,-0.44843053817749023,-0.025556277483701706,-0.035691626369953156,0.2616044282913208,-0.11028844863176346,-0.08719704300165176,0.08826235681772232,-0.16184701025485992,0.00952189601957798,-0.15871717035770416,0.08598339557647705,0.3101108968257904,0.02990277111530304,0.323488712310791,-0.20564965903759003,0.04719391465187073,0.33483222126960754,0.11153613030910492,-0.012077041901648045,-0.0890500545501709,-0.26088517904281616,0.11257612705230713,-0.05816004425287247,-0.05488147959113121,0.012711980380117893,0.11955821514129639,-0.007253179792314768,-0.18175514042377472,0.062310218811035156,0.09518285095691681,0.1761157214641571,0.03163576498627663,-0.07419770210981369,-0.11552692204713821,-0.09484183043241501,-0.037841930985450745,0.16899374127388,0.06791601330041885,0.06544779986143112,-0.08883269876241684,0.10991083830595016,-0.007874365895986557,-0.09407569468021393,0.13539916276931763,0.15042614936828613,-0.1428590714931488,0.35925033688545227,0.2491110861301422,0.13408687710762024,-0.2773987054824829,0.2563602030277252,-0.005247183609753847,0.1844983696937561,0.163834348320961,0.022253938019275665,0.4469299614429474,-0.12703807651996613,0.0261676162481308,0.024404585361480713,-0.0278945155441761,-0.15111187100410461,-0.2634851038455963,0.1058151051402092,-0.08527898043394089,0.05794718116521835,-0.254016250371933,-0.04698256403207779,0.2575729191303253,0.018012823536992073,0.19187407195568085,-0.06948154419660568,0.4227147400379181,0.206088125705719,-0.018909811973571777,0.047418370842933655,0.20360705256462097,-0.05910099297761917,0.2819868326187134,-0.11874973773956299,-0.03396708145737648,0.09776078909635544
"at the moment, i want to be a therapist, although im not sure if i want to specialize with families or individuals, i do know i want to be there for people and be able to bring some relief to their lives.","['At the moment, I want to be a therapist, although Im not sure if I want to specialize with families or individuals, I do know I want to be there for people and be able to bring some relief to their lives']","['at', 'the', 'moment', ',', 'i', 'want', 'to', 'be', 'a', 'therapist', ',', 'although', 'im', 'not', 'sure', 'if', 'i', 'want', 'to', 'specialize', 'with', 'families', 'or', 'individuals', ',', 'i', 'do', 'know', 'i', 'want', 'to', 'be', 'there', 'for', 'people', 'and', 'be', 'able', 'to', 'bring', 'some', 'relief', 'to', 'their', 'lives', '.']",0,0,0,0,0,0,0,0.125,0.7569444444444444,0,0,10,2,7,3,0,3,5,-0.19493496417999268,0.21564744412899017,0.11202032119035721,0.07309707254171371,0.1060844287276268,-0.4030468761920929,0.2213013619184494,0.4894430637359619,-0.17278045415878296,-0.2561143636703491,0.14947500824928284,-0.34022659063339233,-0.03226110339164734,0.18554727733135223,0.08809065818786621,0.011248305439949036,0.1777830868959427,-0.2147190272808075,-0.15349534153938293,-0.5235633254051208,-0.01989157684147358,-0.03053531050682068,0.2557879090309143,-0.06244567036628723,-0.07622471451759338,0.049618907272815704,-0.22512347996234894,0.05297486484050751,-0.10595180094242096,0.0734172984957695,0.3695332109928131,0.019673511385917664,0.32635432481765747,-0.17444771528244019,0.045160602778196335,0.2894793450832367,0.1919843554496765,0.02451666072010994,-0.06589159369468689,-0.22099052369594574,0.045537225902080536,-0.008923082612454891,-0.039153218269348145,-0.06354345381259918,0.0813908576965332,0.02444254793226719,-0.11890289187431335,0.07498681545257568,0.0821925550699234,0.20829923450946808,-0.04683201387524605,-0.06266841292381287,-0.09915882349014282,-0.05544270575046539,0.03659646213054657,0.1755782663822174,0.14242655038833618,0.09246360510587692,-0.12093357741832733,0.1783781200647354,0.05434544384479523,-0.07024646550416946,0.11975888162851334,0.1261446475982666,-0.1156964898109436,0.326129674911499,0.24778535962104797,0.12232821434736252,-0.2761857211589813,0.3330860435962677,0.015320469625294209,0.15383252501487732,0.19605682790279388,-0.01652354933321476,0.43892693519592285,-0.19767720997333527,-0.004171151667833328,0.06375457346439362,-0.010422087274491787,-0.23433390259742737,-0.2905585467815399,0.08876001834869385,-0.120542012155056,0.08475343137979507,-0.23033568263053894,-0.05678631737828255,0.2578420042991638,0.07252858579158783,0.2117626816034317,-0.057029735296964645,0.4024503231048584,0.16007573902606964,-0.02638009749352932,0.052763693034648895,0.17966532707214355,-0.07025839388370514,0.21171805262565613,-0.09819478541612625,-0.05704594776034355,0.10924876481294632
"being able to cherish others and value others is something that gives me a reason to care about life, and i dont feel that i should just live a life for myself since i feel it wouldnt be much of a meaningful life if im only fulfilling things that make me satisfied.","['Being able to cherish others and value others is something that gives me a reason to care about life, and I dont feel that I should just live a life for myself since I feel it wouldnt be much of a meaningful life if Im only fulfilling things that make me satisfied.']","['being', 'able', 'to', 'cherish', 'others', 'and', 'value', 'others', 'is', 'something', 'that', 'gives', 'me', 'a', 'reason', 'to', 'care', 'about', 'life', ',', 'and', 'i', 'dont', 'feel', 'that', 'i', 'should', 'just', 'live', 'a', 'life', 'for', 'myself', 'since', 'i', 'feel', 'it', 'wouldnt', 'be', 'much', 'of', 'a', 'meaningful', 'life', 'if', 'im', 'only', 'fulfilling', 'things', 'that', 'make', 'me', 'satisfied', '.']",0,0,0,0,0,0,1,0.32727272727272727,0.725,0,0,13,2,7,3,4,5,6,-0.1670791059732437,0.20099851489067078,0.0684126690030098,0.05858538672327995,0.10366734117269516,-0.38317006826400757,0.2118355929851532,0.4679934084415436,-0.1888740211725235,-0.21362532675266266,0.1479366570711136,-0.35531890392303467,-0.01329518761485815,0.17601712048053741,0.05850287899374962,-0.0523538812994957,0.14741501212120056,-0.1980639100074768,-0.10119327157735825,-0.518621563911438,-0.06357055902481079,-0.09058321267366409,0.18300451338291168,-0.08464347571134567,-0.06324654817581177,0.031346395611763,-0.25984513759613037,0.050457242876291275,-0.12036103010177612,0.033784374594688416,0.3497143089771271,0.023038450628519058,0.30818846821784973,-0.1654277890920639,0.049860239028930664,0.3017311692237854,0.1848253756761551,0.01866336353123188,-0.1049686074256897,-0.2850457429885864,0.043350253254175186,-0.07432358711957932,-0.03423311188817024,-0.05368918925523758,0.11527097970247269,0.03157155215740204,-0.1475382000207901,0.09771794825792313,0.07358423620462418,0.19055300951004028,-0.010504667647182941,-0.062203481793403625,-0.034500353038311005,-0.04784689098596573,-0.011917822062969208,0.16974513232707977,0.09509379416704178,0.050166357308626175,-0.08156155794858932,0.1307072788476944,0.07420047372579575,-0.0836377814412117,0.10527902841567993,0.14365097880363464,-0.11068209260702133,0.3069230914115906,0.19962315261363983,0.17232239246368408,-0.26148542761802673,0.28050747513771057,0.06843036413192749,0.19103172421455383,0.17344065010547638,0.007360745221376419,0.43853697180747986,-0.1660803258419037,-0.003282756544649601,0.060366734862327576,-0.0043479083105921745,-0.2287510633468628,-0.28375014662742615,0.09140684455633163,-0.1176416277885437,0.09892178326845169,-0.22284133732318878,-0.06107810139656067,0.287909597158432,0.11816617846488953,0.20784959197044373,-0.0538320355117321,0.4010825455188751,0.16449324786663055,-0.05303432047367096,0.042979221791028976,0.21214836835861206,-0.057517945766448975,0.25029170513153076,-0.09890519827604294,-0.018580004572868347,0.07187802344560623
i decided to come to san francisco state university because i wanted to experience a new community.,['I decided to come to San Francisco State University because I wanted to experience a new community.'],"['i', 'decided', 'to', 'come', 'to', 'san', 'francisco', 'state', 'university', 'because', 'i', 'wanted', 'to', 'experience', 'a', 'new', 'community', '.']",0,0,0,0,0,0,1,0.13636363636363635,0.45454545454545453,0,0,5,0,5,1,0,2,1,-0.141139417886734,0.11392423510551453,0.15051031112670898,0.13013774156570435,0.19524303078651428,-0.37720581889152527,0.2041182816028595,0.504978358745575,-0.20182009041309357,-0.25719714164733887,0.26245397329330444,-0.3438054323196411,-0.07504073530435562,0.23245108127593994,0.07284985482692719,0.18996161222457886,0.24383544921875,-0.1287112981081009,-0.2205672264099121,-0.5628708600997925,0.027595344930887222,0.06557165086269379,0.3692525327205658,-0.17647813260555267,-0.14324486255645752,0.10802266001701355,-0.10814648866653442,-0.0942319855093956,-0.23417453467845917,0.08071570843458176,0.4299461841583252,0.049929119646549225,0.4154398441314697,-0.28242093324661255,0.13135690987110138,0.46301132440567017,0.21965444087982178,0.022411631420254707,-0.06580847501754761,-0.2501242160797119,0.1509171575307846,0.08200777322053909,-0.08475180715322495,0.03157028183341026,0.16797500848770142,-0.024657629430294037,-0.21681195497512817,0.10798408091068268,0.18199555575847626,0.15759755671024323,-0.011861175298690796,0.02603703737258911,-0.12363308668136597,-0.0887071043252945,0.1056504100561142,0.26440849900245667,0.1033361479640007,0.12216812372207642,-0.1294061839580536,0.1778801530599594,-0.10330764204263687,-0.01793561317026615,0.22095659375190735,0.1273205727338791,-0.169529989361763,0.34819671511650085,0.3361395597457886,0.11522379517555237,-0.2692357897758484,0.30283743143081665,-0.08352985978126526,0.17908024787902832,0.10309796035289764,0.05364188551902771,0.5544379353523254,-0.17736828327178955,0.08786112815141678,0.029558030888438225,-0.029960568994283676,-0.1981126070022583,-0.3291915953159332,0.19136720895767212,-0.022277727723121643,0.03557807579636574,-0.3453827500343323,-0.09089065343141556,0.25755998492240906,-0.08500515669584274,0.24679960310459137,-0.022082796320319176,0.5134118795394897,0.365339457988739,0.07665412127971649,0.07174787670373917,0.15954655408859253,-0.010722276754677296,0.16967636346817017,-0.1312742680311203,-0.0328604131937027,0.2045608013868332
like it is said the students kind of lead the conversation into the class and i like that people actually converse with each other and engage in the topic.,['Like it is said the students kind of lead the conversation into the class and I like that people actually converse with each other and engage in the topic.'],"['like', 'it', 'is', 'said', 'the', 'students', 'kind', 'of', 'lead', 'the', 'conversation', 'into', 'the', 'class', 'and', 'i', 'like', 'that', 'people', 'actually', 'converse', 'with', 'each', 'other', 'and', 'engage', 'in', 'the', 'topic', '.']",0,0,0,0,0,0,0,0.15833333333333333,0.4583333333333333,0,0,8,1,2,6,1,1,6,-0.15469183027744293,0.15470543503761292,0.0902085080742836,0.025406431406736374,0.12000630795955658,-0.31581029295921326,0.1809026002883911,0.43692517280578613,-0.22112207114696503,-0.18329842388629913,0.06147615239024162,-0.3154224455356598,-0.005301684141159058,0.18020640313625336,0.04851031303405762,-0.10851356387138367,0.11491736024618149,-0.1689264476299286,-0.08425948023796082,-0.44178420305252075,-0.0515316016972065,-0.08656976372003555,0.1653483808040619,-0.11307676881551743,-0.03306258097290993,0.00861324556171894,-0.1941995471715927,0.05298858508467674,-0.15079918503761292,0.06879310309886932,0.25388675928115845,0.006572697311639786,0.2579179108142853,-0.15150614082813263,0.007805000524967909,0.27552151679992676,0.09992177784442902,-0.011437424458563328,-0.07804722338914871,-0.2653138339519501,0.08638462424278259,-0.12586265802383423,-0.04135040193796158,-0.005860348232090473,0.14210952818393707,0.021817447617650032,-0.16022808849811554,0.04956145957112312,0.058648813515901566,0.22291219234466553,0.06941583007574081,-0.10187631845474243,-0.07855836302042007,-0.06418521702289581,-0.0558505579829216,0.1443566381931305,0.07537204027175903,0.018130427226424217,-0.09274353086948395,0.09509800374507904,0.05730069428682327,-0.07784679532051086,0.08218337595462799,0.1412983387708664,-0.09955810010433197,0.3057897686958313,0.1491098701953888,0.19635061919689178,-0.25314998626708984,0.23516002297401428,0.07051138579845428,0.21425648033618927,0.19906817376613617,0.0134391775354743,0.4262584447860718,-0.09746842086315155,0.03956744819879532,0.01834065280854702,-0.011048558168113232,-0.14292046427726746,-0.24420678615570068,0.09954553842544556,-0.14164985716342926,0.10130693018436432,-0.2257855236530304,-0.054743554443120956,0.2139340043067932,0.11084635555744171,0.1942700296640396,-0.038538623601198196,0.3911657929420471,0.17316840589046478,-0.046972740441560745,0.023121250793337822,0.29261529445648193,-0.014997908845543861,0.3012314438819885,-0.12286882102489471,-0.010708021931350231,0.030171943828463554
"this has raised some interest within me as to how the math is applied differently, not to mention the topics covered in the class in general.","['As for college in general, I am here because I wish to gather the knowledge and experience to become a math teacher, in addition to forming valuable connections with the people I meet along the way. Gaining perspective and insight from my professors on how they organize their class and how they interact with students has and will prove to be valuable in contributing to my future.']","['this', 'has', 'raised', 'some', 'interest', 'within', 'me', 'as', 'to', 'how', 'the', 'math', 'is', 'applied', 'differently', ',', 'not', 'to', 'mention', 'the', 'topics', 'covered', 'in', 'the', 'class', 'in', 'general', '.']",1,1,0,1,0,0,0,0.02500000000000001,0.55,0,0,4,2,4,5,1,1,4,-0.12649418413639069,0.16990916430950165,0.12257885187864304,0.024088846519589424,0.11201297491788864,-0.31383752822875977,0.1834145188331604,0.46106863021850586,-0.2014063149690628,-0.20680353045463562,0.08788508921861649,-0.32199302315711975,-0.0008034569909796119,0.1851804256439209,0.03383956104516983,-0.09051668643951416,0.14373034238815308,-0.1240202859044075,-0.08743207156658173,-0.4265385866165161,-0.052978791296482086,-0.10415028780698776,0.18327859044075012,-0.10325245559215546,-0.05395202338695526,0.04127489775419235,-0.18641529977321625,0.052385903894901276,-0.14898110926151276,0.07307152450084686,0.23799823224544525,0.0013503034133464098,0.2911851108074188,-0.17898467183113098,0.017024315893650055,0.28182676434516907,0.09962845593690872,-0.012211071327328682,-0.053747259080410004,-0.2601427137851715,0.11659825593233109,-0.12529560923576355,-0.04388745501637459,0.009186312556266785,0.12808214128017426,0.013309099711477757,-0.1619245707988739,0.029926884919404984,0.035846225917339325,0.21352431178092957,0.08790889382362366,-0.12888430058956146,-0.08117885142564774,-0.06485479325056076,-0.07029649615287781,0.14008517563343048,0.06676637381315231,0.015256199985742569,-0.09194747358560562,0.08046376705169678,0.05507918447256088,-0.08221408724784851,0.09413734078407288,0.15182894468307495,-0.11199434846639633,0.32518672943115234,0.17172199487686157,0.214279443025589,-0.27281683683395386,0.22498026490211487,0.0424208827316761,0.22585278749465942,0.2128661572933197,0.015477603301405907,0.44803136587142944,-0.09538842737674713,0.031368520110845566,0.02318841591477394,-0.026433559134602547,-0.12565714120864868,-0.24193689227104187,0.10887270420789719,-0.13196466863155365,0.1108645349740982,-0.25151628255844116,-0.04149516671895981,0.2331860065460205,0.0820501521229744,0.19568103551864624,-0.05936873331665993,0.4235668480396271,0.189286008477211,-0.03179791942238808,0.02500014565885067,0.30322596430778503,-0.027186213061213493,0.3103982210159302,-0.10345542430877686,-0.01896585337817669,0.05115654319524765
you may ask why i was born in a house?,"['I want to inspire others and help them have what I never had.', 'One day when I am not on this earth anymore, I want people to remember me for something I did in my life that inspired them.', 'I have always wanted to help people out.']","['you', 'may', 'ask', 'why', 'i', 'was', 'born', 'in', 'a', 'house', '?']",0,0,0,0,0,0,0,0.0,0.0,0,0,2,0,3,1,1,0,1,-0.18552382290363312,0.1423029601573944,0.12602943181991577,0.12060046195983887,0.04846317321062088,-0.37187817692756653,0.20253148674964905,0.4109453558921814,-0.2014220654964447,-0.1466071754693985,0.15225037932395935,-0.36542537808418274,-0.02310124598443508,0.19350358843803406,0.04821709543466568,-0.005191720090806484,0.14419105648994446,-0.1928785741329193,-0.13169842958450317,-0.5148475170135498,-0.028305375948548317,-0.03112083300948143,0.26500648260116577,-0.0918208435177803,-0.07152149826288223,0.020277637988328934,-0.19944193959236145,-0.07358173280954361,-0.20294062793254852,0.07195203006267548,0.33768248558044434,0.00808380264788866,0.37387779355049133,-0.22132059931755066,0.07022097706794739,0.34707456827163696,0.16500622034072876,0.0023421435616910458,-0.037394266575574875,-0.3139960765838623,0.10453903675079346,-0.06967455893754959,-0.03247122839093208,-0.05502632260322571,0.12176427990198135,-0.0054840766824781895,-0.22173170745372772,0.11296863853931427,0.07877615839242935,0.1686890721321106,0.019321974366903305,-0.0465451255440712,-0.03331931680440903,-0.08527294546365738,0.014443579129874706,0.21652571856975555,0.09011916071176529,0.027875464409589767,-0.11319731175899506,0.13805712759494781,0.044384174048900604,-0.06034234166145325,0.07973940670490265,0.10115267336368561,-0.055674947798252106,0.30217576026916504,0.14879807829856873,0.21659192442893982,-0.28969788551330566,0.23164257407188416,0.017072021961212158,0.18923690915107727,0.10455714166164398,0.05332176759839058,0.5389686822891235,-0.08135850727558136,0.0049229832366108894,0.0575532428920269,-0.008867030031979084,-0.22112326323986053,-0.2524276375770569,0.12114010006189346,-0.07346421480178833,0.17780250310897827,-0.32491812109947205,-0.027787989005446434,0.22449450194835663,0.10968375205993652,0.23353667557239532,0.00036085769534111023,0.4841465950012207,0.25262561440467834,-0.047332167625427246,0.056564588099718094,0.19413530826568604,-0.008721152320504189,0.20192840695381165,-0.12014789879322052,0.016043992713093758,0.05583938956260681
"so far, i see this class as people who have a similar goal to get the job done, and in a hardworking atmosphere, it makes it a lot easier.","['So far, I see this class as people who have a similar goal to get the job done, and in a hardworking atmosphere, it makes it a lot easier.']","['so', 'far', ',', 'i', 'see', 'this', 'class', 'as', 'people', 'who', 'have', 'a', 'similar', 'goal', 'to', 'get', 'the', 'job', 'done', ',', 'and', 'in', 'a', 'hardworking', 'atmosphere', ',', 'it', 'makes', 'it', 'a', 'lot', 'easier', '.']",0,0,0,0,0,0,0,0.05,0.7,0,0,6,3,2,5,2,3,2,-0.13334546983242035,0.1945543736219406,0.09713827818632126,0.07249896973371506,0.12621423602104187,-0.3937225043773651,0.2095377892255783,0.5249581933021545,-0.21252793073654175,-0.2071761190891266,0.1324559450149536,-0.34054648876190186,-0.006887221243232489,0.2125764936208725,0.029986487701535225,-0.09344745427370071,0.16401520371437073,-0.14931997656822205,-0.06001371517777443,-0.48513010144233704,-0.05136369168758392,-0.1266428381204605,0.15489232540130615,-0.021801870316267014,-0.0686049610376358,0.043507497757673264,-0.22108107805252075,0.1015588641166687,-0.1654300093650818,0.043200597167015076,0.29047924280166626,0.007551631424576044,0.27832138538360596,-0.18895533680915833,0.04389673098921776,0.25035059452056885,0.14792443811893463,-0.0016969259595498443,-0.10379619896411896,-0.2418278157711029,0.06698887050151825,-0.09899640828371048,-0.05605798587203026,-0.008607057854533195,0.11641715466976166,0.012328403070569038,-0.14877402782440186,0.06545726954936981,0.05595950037240982,0.1877041459083557,0.04184858873486519,-0.0844767615199089,-0.04417695850133896,-0.07380737364292145,-0.05798836424946785,0.141478031873703,0.037627965211868286,0.03901496157050133,-0.07796603441238403,0.09886325150728226,0.01428646594285965,-0.10974206775426865,0.09015125781297684,0.15530554950237274,-0.13015349209308624,0.33154192566871643,0.21258041262626648,0.2084353268146515,-0.25944387912750244,0.26457855105400085,0.03516671434044838,0.2191312611103058,0.14415261149406433,-0.033898044377565384,0.4587593078613281,-0.08977139741182327,-0.012412406504154205,0.08827222883701324,-0.013993656262755394,-0.19320255517959595,-0.2892577052116394,0.08803229033946991,-0.08852925896644592,0.11632002145051956,-0.2485068440437317,-0.028513694182038307,0.28436464071273804,0.08027814328670502,0.22050604224205017,-0.044513557106256485,0.41997581720352173,0.15115852653980255,-0.02543609030544758,0.029035184532403946,0.21107158064842224,-0.0737563818693161,0.3010709583759308,-0.07040303945541382,0.0040812017396092415,0.09456172585487366
